Graf funkce sinus - ve stupnich
uhel [stupne]
sinus
0 0.000000
6 0.104528
12 0.207912
18 0.309017
24 0.406737
30 0.500000
36 0.587785
42 0.669131
48 0.743145
54 0.809017
60 0.866025
66 0.913545
72 0.951057
78 0.978148
84 0.994522
90 1.000000
96 0.994522
102 0.978148
108 0.951057
114 0.913545
120 0.866025
126 0.809017
132 0.743145
138 0.669131
144 0.587785
150 0.500000
156 0.406737
162 0.309017
168 0.207912
174 0.104528
180 0.000000
186 -0.104528
192 -0.207912
198 -0.309017
204 -0.406737
210 -0.500000
216 -0.587785
222 -0.669131
228 -0.743145
234 -0.809017
240 -0.866025
246 -0.913545
252 -0.951057
258 -0.978148
264 -0.994522
270 -1.000000
276 -0.994522
282 -0.978148
288 -0.951057
294 -0.913545
300 -0.866025
306 -0.809017
312 -0.743145
318 -0.669131
324 -0.587785
330 -0.500000
336 -0.406737
342 -0.309017
348 -0.207912
354 -0.104528
360 0.000000
